batch_fraction,defer_hours,seed,carbon_saving_pct,energy_delta_pct,n_sla_violations,mean_wait_h
0.1,2,0,-0.4976,1.2322,1,1.857
0.1,2,1,-1.3724,0.7282,0,1.7
0.1,2,2,-1.3618,0.8671,0,1.779
0.1,2,3,-1.7713,2.0377,0,1.846
0.1,2,4,1.7927,-1.4312,1,1.903
0.1,2,5,1.8891,-0.9001,0,1.776
0.1,2,6,-0.1492,1.0391,0,1.841
0.1,2,7,-0.1115,-0.1678,0,1.744
0.1,2,8,-1.5358,0.4687,0,1.847
0.1,2,9,1.7341,-2.1729,1,1.732
0.1,4,0,0.7383,-0.1442,1,3.329
0.1,4,1,-2.1243,0.3862,0,2.986
0.1,4,2,1.1325,-0.6305,0,3.191
0.1,4,3,-1.2339,1.0056,0,3.205
0.1,4,4,0.5322,-1.5961,1,3.5
0.1,4,5,-0.6225,0.7146,0,3.153
0.1,4,6,2.0064,-0.2607,0,3.205
0.1,4,7,-0.5535,-0.3503,0,3.268
0.1,4,8,-0.5719,-0.551,0,3.444
0.1,4,9,1.7277,-2.0123,1,3.125
0.1,6,0,0.0484,0.8881,1,4.486
0.1,6,1,-0.6647,-0.5697,0,4.043
0.1,6,2,1.4442,-0.1397,0,4.25
0.1,6,3,-1.7797,1.1754,0,4.385
0.1,6,4,0.7153,-1.0483,1,4.903
0.1,6,5,0.4915,0.049,0,4.316
0.1,6,6,3.9288,-1.6093,0,4.352
0.1,6,7,0.8868,-0.5679,0,4.439
0.1,6,8,0.6263,-0.844,0,4.806
0.1,6,9,2.9615,-2.5509,1,4.304
0.1,8,0,1.4449,0.4206,1,5.386
0.1,8,1,1.0725,-1.6741,0,4.786
0.1,8,2,3.4715,-1.7606,0,5.029
0.1,8,3,-0.5017,1.6989,0,5.41
0.1,8,4,3.4929,-2.7201,1,5.661
0.1,8,5,3.9564,-1.9825,0,4.969
0.1,8,6,5.463,-2.306,0,4.966
0.1,8,7,2.889,-1.0349,0,5.049
0.1,8,8,4.271,-3.0024,0,5.764
0.1,8,9,5.1758,-3.661,1,4.75
0.2,2,0,-0.6998,0.544,1,1.863
0.2,2,1,1.5328,-0.9818,0,1.746
0.2,2,2,0.4297,-0.6455,0,1.738
0.2,2,3,-0.9837,0.6792,1,1.855
0.2,2,4,0.8566,-1.6244,1,1.936
0.2,2,5,-1.7336,1.2262,3,1.707
0.2,2,6,-0.3701,0.3925,1,1.851
0.2,2,7,1.6767,-1.546,0,1.815
0.2,2,8,-2.1087,0.4286,0,1.773
0.2,2,9,-0.7685,-0.7279,2,1.724
0.2,4,0,0.5822,-1.4812,1,3.381
0.2,4,1,-1.4025,-0.3181,0,3.025
0.2,4,2,1.5042,-1.2346,0,3.0
0.2,4,3,-0.2323,-0.3075,1,3.319
0.2,4,4,0.1723,-2.0708,1,3.464
0.2,4,5,1.2941,-1.3207,3,3.011
0.2,4,6,0.2746,-0.9699,1,3.291
0.2,4,7,1.3026,-0.7603,0,3.321
0.2,4,8,-0.103,-1.7379,0,3.136
0.2,4,9,-0.1232,-1.7931,2,3.092
0.2,6,0,0.1595,0.414,1,4.667
0.2,6,1,-1.0611,-0.248,0,4.074
0.2,6,2,2.2279,-0.4452,0,4.044
0.2,6,3,0.6028,0.6484,1,4.5
0.2,6,4,3.6545,-3.6934,1,4.7
0.2,6,5,0.6874,-0.7661,3,4.112
0.2,6,6,1.2943,-0.8564,1,4.541
0.2,6,7,4.8393,-2.5276,0,4.533
0.2,6,8,3.0877,-3.4012,0,4.305
0.2,6,9,1.4819,-2.0624,2,4.204
0.2,8,0,4.8037,-2.5313,1,5.512
0.2,8,1,2.2645,-1.4453,0,4.779
0.2,8,2,4.8198,-2.2607,0,4.838
0.2,8,3,6.2657,-3.1074,1,5.386
0.2,8,4,6.1002,-4.5594,1,5.429
0.2,8,5,4.235,-2.0731,3,4.803
0.2,8,6,6.9337,-3.9546,1,5.284
0.2,8,7,8.9313,-3.7095,0,5.266
0.2,8,8,5.0946,-3.0742,0,5.058
0.2,8,9,4.5387,-3.4432,2,4.855
0.3,2,0,-1.3505,-0.0939,1,1.838
0.3,2,1,-0.0332,-0.4539,0,1.755
0.3,2,2,-0.1695,0.5356,1,1.707
0.3,2,3,-2.3143,1.7279,1,1.833
0.3,2,4,1.8733,-2.8042,1,1.87
0.3,2,5,-0.6434,0.7747,4,1.717
0.3,2,6,-0.7476,-0.696,2,1.863
0.3,2,7,-1.6193,0.2084,0,1.789
0.3,2,8,-2.8025,0.688,0,1.73
0.3,2,9,0.1542,-1.0793,3,1.732
0.3,4,0,-1.2377,0.1175,1,3.338
0.3,4,1,0.9746,-1.9249,0,3.0
0.3,4,2,2.3155,-1.4038,1,2.959
0.3,4,3,0.3394,-0.7477,1,3.271
0.3,4,4,1.76,-2.7559,1,3.293
0.3,4,5,-0.4362,-0.6559,4,3.031
0.3,4,6,-1.7489,-1.0815,2,3.336
0.3,4,7,0.023,-0.8881,0,3.271
0.3,4,8,-1.4907,-1.2843,0,3.084
0.3,4,9,-0.4905,-2.047,3,3.094
0.3,6,0,0.0381,-0.4561,1,4.628
0.3,6,1,0.677,-1.3419,0,4.0
0.3,6,2,5.772,-3.9321,1,3.93
0.3,6,3,2.0749,-0.4407,1,4.458
0.3,6,4,5.1687,-5.2123,1,4.471
0.3,6,5,1.3577,-2.1223,4,4.128
0.3,6,6,1.6131,-1.9426,2,4.588
0.3,6,7,3.1041,-2.5527,0,4.53
0.3,6,8,1.5516,-2.6895,0,4.217
0.3,6,9,2.9955,-4.3231,3,4.185
0.3,8,0,6.7233,-3.6032,1,5.453
0.3,8,1,4.6407,-2.0683,0,4.685
0.3,8,2,8.7691,-4.0511,1,4.665
0.3,8,3,8.1463,-3.4475,1,5.325
0.3,8,4,8.8112,-5.7162,1,5.173
0.3,8,5,9.1719,-5.4795,4,4.826
0.3,8,6,10.4575,-6.793,2,5.341
0.3,8,7,8.2073,-4.3718,0,5.331
0.3,8,8,8.9889,-6.9272,0,5.004
0.3,8,9,7.9929,-6.228,3,4.866
0.4,2,0,-4.54,2.4686,1,1.837
0.4,2,1,-1.2976,-0.1675,1,1.783
0.4,2,2,-1.7743,-0.4091,2,1.717
0.4,2,3,0.0924,-0.5131,2,1.803
0.4,2,4,1.4463,-2.5167,2,1.846
0.4,2,5,0.5355,-1.4147,4,1.732
0.4,2,6,-0.1063,-1.0873,2,1.838
0.4,2,7,0.8132,-0.4036,1,1.796
0.4,2,8,-2.6915,0.3478,1,1.744
0.4,2,9,-0.7694,-1.2571,3,1.707
0.4,4,0,0.0528,-1.4795,1,3.346
0.4,4,1,-3.112,-0.2706,1,3.07
0.4,4,2,-0.1994,-0.8839,2,3.006
0.4,4,3,1.246,-0.5923,2,3.185
0.4,4,4,1.5557,-3.1158,2,3.261
0.4,4,5,-0.3305,-1.8348,4,3.095
0.4,4,6,-0.1528,-0.8376,2,3.245
0.4,4,7,2.5678,-1.5601,1,3.284
0.4,4,8,-0.6423,-2.441,1,3.146
0.4,4,9,-0.7567,-2.8067,3,3.019
0.4,6,0,2.5759,-2.7835,1,4.609
0.4,6,1,0.1856,-2.0614,1,4.114
0.4,6,2,2.5673,-3.4846,2,4.016
0.4,6,3,5.4524,-3.5367,2,4.299
0.4,6,4,5.5122,-5.1331,2,4.429
0.4,6,5,1.6184,-4.1213,4,4.235
0.4,6,6,4.2216,-3.8883,2,4.414
0.4,6,7,7.4766,-4.634,1,4.54
0.4,6,8,3.1466,-4.849,1,4.323
0.4,6,9,4.8022,-5.9538,3,4.08
0.4,8,0,12.4271,-7.8644,1,5.423
0.4,8,1,8.6187,-6.1833,1,4.805
0.4,8,2,11.1831,-8.632,2,4.73
0.4,8,3,13.2573,-6.9548,2,5.108
0.4,8,4,12.1766,-9.1755,2,5.118
0.4,8,5,12.4359,-9.5753,4,4.961
0.4,8,6,14.45,-9.226,2,5.08
0.4,8,7,14.5488,-8.3745,1,5.338
0.4,8,8,14.2321,-9.8501,1,5.098
0.4,8,9,11.6417,-9.7611,3,4.722
0.5,2,0,-0.6946,-0.1228,1,1.829
0.5,2,1,-1.6364,0.4751,1,1.775
0.5,2,2,-2.6389,0.6062,2,1.747
0.5,2,3,-3.048,1.5302,4,1.802
0.5,2,4,-0.4236,-1.8571,2,1.841
0.5,2,5,0.5572,-1.722,4,1.734
0.5,2,6,-0.6384,-1.1625,2,1.821
0.5,2,7,1.3244,-1.9139,2,1.815
0.5,2,8,-1.2641,-2.0236,2,1.757
0.5,2,9,-1.9159,-0.8289,3,1.69
0.5,4,0,-2.012,-0.8022,1,3.325
0.5,4,1,-2.442,-1.4868,1,3.064
0.5,4,2,-0.4123,-2.4813,2,3.091
0.5,4,3,2.8392,-3.1339,4,3.208
0.5,4,4,-2.2036,-1.0073,2,3.282
0.5,4,5,-0.0151,-3.1904,4,3.092
0.5,4,6,-1.3584,-1.9539,2,3.219
0.5,4,7,2.041,-2.109,2,3.35
0.5,4,8,-2.1996,-3.3428,2,3.159
0.5,4,9,-0.9201,-4.1813,3,2.998
0.5,6,0,4.4986,-5.1191,1,4.583
0.5,6,1,1.2967,-3.5792,1,4.102
0.5,6,2,3.2766,-4.6275,2,4.157
0.5,6,3,7.508,-4.9141,4,4.371
0.5,6,4,6.881,-7.9732,2,4.489
0.5,6,5,5.417,-7.8425,4,4.227
0.5,6,6,4.7838,-5.2814,2,4.375
0.5,6,7,7.3551,-4.4465,2,4.619
0.5,6,8,1.5398,-4.9766,2,4.341
0.5,6,9,3.5057,-7.2774,3,4.076
0.5,8,0,17.5818,-11.7904,1,5.382
0.5,8,1,11.5123,-9.1801,1,4.787
0.5,8,2,14.5365,-10.5802,2,4.904
0.5,8,3,20.6894,-12.1004,4,5.178
0.5,8,4,17.0436,-11.7678,2,5.19
0.5,8,5,20.4677,-14.6711,4,4.968
0.5,8,6,16.5282,-10.6615,2,5.038
0.5,8,7,17.9324,-10.8131,2,5.431
0.5,8,8,18.6874,-14.1287,2,5.098
0.5,8,9,14.0624,-12.2486,3,4.764
