scenario,policy,seed,energy_kwh,carbon_gCO2,mean_wait_h,n_deferred
low_flex,baseline,0,119.09447461358323,21978.169553272313,0.0,0
low_flex,baseline,1,118.4927534833014,21867.355496278968,0.0,0
low_flex,baseline,2,118.9005805463388,22080.097611244393,0.0,0
low_flex,baseline,3,119.43655217499196,22250.330033642767,0.0,0
low_flex,baseline,4,119.73676809800537,22149.108895366637,0.0,0
low_flex,baseline,5,118.96526874971234,21963.73932839025,0.0,0
low_flex,baseline,6,119.38986494726475,21989.47816020377,0.0,0
low_flex,baseline,7,118.4110867055832,21839.72385546192,0.0,0
low_flex,baseline,8,119.15639572507563,22096.974366595914,0.0,0
low_flex,baseline,9,119.31737433968541,22059.79326862218,0.0,0
low_flex,threshold,0,119.09447461358322,20912.116663235716,2.896706586826347,167
low_flex,threshold,1,118.4927534833014,20817.869787224474,2.896706586826347,167
low_flex,threshold,2,118.90058054633879,21032.718755065394,2.896706586826347,167
low_flex,threshold,3,119.43655217499196,21201.305792424322,2.896706586826347,167
low_flex,threshold,4,119.73676809800538,21040.693995838526,2.896706586826347,167
low_flex,threshold,5,118.96526874971232,20884.713755305213,2.896706586826347,167
low_flex,threshold,6,119.38986494726475,20940.92972569451,2.896706586826347,167
low_flex,threshold,7,118.41108670558319,20789.323757161907,2.896706586826347,167
low_flex,threshold,8,119.15639572507563,21052.99748556709,2.896706586826347,167
low_flex,threshold,9,119.31737433968544,20963.093962787407,2.896706586826347,167
low_flex,adaptive,0,119.09447461358322,21307.694003890872,2.9143518518518516,144
low_flex,adaptive,1,118.4927534833014,21209.040625383703,2.9143518518518516,144
low_flex,adaptive,2,118.90058054633879,21417.923102324537,2.9143518518518516,144
low_flex,adaptive,3,119.43655217499195,21587.18342250035,2.9143518518518516,144
low_flex,adaptive,4,119.7367680980054,21447.134395047786,2.9143518518518516,144
low_flex,adaptive,5,118.96526874971232,21286.877144429884,2.9143518518518516,144
low_flex,adaptive,6,119.38986494726477,21337.828794425834,2.9143518518518516,144
low_flex,adaptive,7,118.41108670558319,21181.811467913238,2.9143518518518516,144
low_flex,adaptive,8,119.15639572507563,21448.402571207647,2.9143518518518516,144
low_flex,adaptive,9,119.31737433968544,21359.63699755083,2.9143518518518516,144
low_flex,oracle,0,119.09447461358323,20317.687886357715,2.6052631578947367,190
low_flex,oracle,1,118.4927534833014,20230.226641596335,2.6052631578947367,190
low_flex,oracle,2,118.9005805463388,20455.14052879698,2.6052631578947367,190
low_flex,oracle,3,119.43655217499196,20639.09980428719,2.6052631578947367,190
low_flex,oracle,4,119.73676809800537,20437.28412769893,2.6052631578947367,190
low_flex,oracle,5,118.96526874971234,20286.426888767506,2.6052631578947367,190
low_flex,oracle,6,119.38986494726475,20347.954191612964,2.6052631578947367,190
low_flex,oracle,7,118.4110867055832,20195.175827617026,2.6052631578947367,190
low_flex,oracle,8,119.15639572507563,20469.696033133263,2.6052631578947367,190
low_flex,oracle,9,119.31737433968541,20359.922896699372,2.6052631578947367,190
medium_flex,baseline,0,119.09447461358329,21978.169553272313,0.0,0
medium_flex,baseline,1,118.49275348330151,21867.35549627901,0.0,0
medium_flex,baseline,2,118.90058054633903,22080.097611244397,0.0,0
medium_flex,baseline,3,119.43655217499206,22250.330033642756,0.0,0
medium_flex,baseline,4,119.73676809800534,22149.10889536661,0.0,0
medium_flex,baseline,5,118.96526874971235,21963.739328390267,0.0,0
medium_flex,baseline,6,119.3898649472647,21989.47816020376,0.0,0
medium_flex,baseline,7,118.41108670558319,21839.72385546192,0.0,0
medium_flex,baseline,8,119.15639572507568,22096.97436659592,0.0,0
medium_flex,baseline,9,119.31737433968566,22059.793268622194,0.0,0
medium_flex,threshold,0,119.09447461358333,19612.230045195385,3.806878306878307,189
medium_flex,threshold,1,118.49275348330151,19531.38339638412,3.806878306878307,189
medium_flex,threshold,2,118.90058054633903,19743.60858302296,3.806878306878307,189
medium_flex,threshold,3,119.43655217499207,19913.04503960586,3.806878306878307,189
medium_flex,threshold,4,119.73676809800537,19714.078101054933,3.806878306878307,189
medium_flex,threshold,5,118.96526874971237,19581.209829206993,3.806878306878307,189
medium_flex,threshold,6,119.38986494726475,19654.913950115606,3.806878306878307,189
medium_flex,threshold,7,118.41108670558317,19500.871154454613,3.806878306878307,189
medium_flex,threshold,8,119.1563957250757,19757.419878035995,3.806878306878307,189
medium_flex,threshold,9,119.31737433968566,19644.730666884043,3.806878306878307,189
medium_flex,adaptive,0,119.09447461358333,20296.714860516317,4.666087962962963,144
medium_flex,adaptive,1,118.49275348330153,20198.9307286176,4.666087962962963,144
medium_flex,adaptive,2,118.90058054633903,20388.090672451675,4.666087962962963,144
medium_flex,adaptive,3,119.43655217499206,20557.33544034722,4.666087962962963,144
medium_flex,adaptive,4,119.73676809800537,20414.051046199525,4.666087962962963,144
medium_flex,adaptive,5,118.96526874971237,20263.581231454486,4.666087962962963,144
medium_flex,adaptive,6,119.38986494726474,20334.25614406418,4.666087962962963,144
medium_flex,adaptive,7,118.41108670558319,20169.89079695298,4.666087962962963,144
medium_flex,adaptive,8,119.15639572507567,20413.395816773475,4.666087962962963,144
medium_flex,adaptive,9,119.31737433968567,20326.410329603466,4.666087962962963,144
medium_flex,oracle,0,119.09447461358329,19045.10472123626,3.434579439252336,214
medium_flex,oracle,1,118.49275348330151,18981.532163637316,3.434579439252336,214
medium_flex,oracle,2,118.90058054633903,19215.60871018452,3.434579439252336,214
medium_flex,oracle,3,119.43655217499206,19404.341450315595,3.434579439252336,214
medium_flex,oracle,4,119.73676809800534,19116.538883026256,3.434579439252336,214
medium_flex,oracle,5,118.96526874971235,18997.767495254946,3.434579439252336,214
medium_flex,oracle,6,119.3898649472647,19098.104253072997,3.434579439252336,214
medium_flex,oracle,7,118.41108670558319,18935.895434577596,3.434579439252336,214
medium_flex,oracle,8,119.15639572507568,19224.995900010537,3.434579439252336,214
medium_flex,oracle,9,119.31737433968566,19053.337611438135,3.434579439252336,214
high_flex,baseline,0,119.09447461358323,21978.169553272302,0.0,0
high_flex,baseline,1,118.49275348330143,21867.355496278975,0.0,0
high_flex,baseline,2,118.90058054633879,22080.097611244422,0.0,0
high_flex,baseline,3,119.43655217499212,22250.33003364275,0.0,0
high_flex,baseline,4,119.73676809800523,22149.108895366615,0.0,0
high_flex,baseline,5,118.96526874971228,21963.739328390213,0.0,0
high_flex,baseline,6,119.38986494726451,21989.47816020378,0.0,0
high_flex,baseline,7,118.41108670558319,21839.723855461893,0.0,0
high_flex,baseline,8,119.1563957250757,22096.974366595936,0.0,0
high_flex,baseline,9,119.31737433968547,22059.793268622154,0.0,0
high_flex,threshold,0,119.09447461358323,18549.355130933065,4.665912518853695,221
high_flex,threshold,1,118.49275348330143,18497.164561547386,4.665912518853695,221
high_flex,threshold,2,118.90058054633879,18715.743619022505,4.665912518853695,221
high_flex,threshold,3,119.43655217499214,18893.934808785536,4.665912518853695,221
high_flex,threshold,4,119.7367680980052,18604.52966678288,4.665912518853695,221
high_flex,threshold,5,118.96526874971228,18504.02003319354,4.665912518853695,221
high_flex,threshold,6,119.38986494726453,18622.064508972984,4.665912518853695,221
high_flex,threshold,7,118.41108670558322,18442.985531021935,4.665912518853695,221
high_flex,threshold,8,119.15639572507571,18717.925422697943,4.665912518853695,221
high_flex,threshold,9,119.3173743396855,18544.17030426794,4.665912518853695,221
high_flex,adaptive,0,119.0944746135832,19266.388261881188,6.03587962962963,144
high_flex,adaptive,1,118.49275348330144,19183.30315025401,6.03587962962963,144
high_flex,adaptive,2,118.90058054633879,19368.339092897495,6.03587962962963,144
high_flex,adaptive,3,119.43655217499213,19542.557578118292,6.03587962962963,144
high_flex,adaptive,4,119.7367680980052,19363.84629740628,6.03587962962963,144
high_flex,adaptive,5,118.96526874971228,19226.7877157148,6.03587962962963,144
high_flex,adaptive,6,119.38986494726453,19318.94563281656,6.03587962962963,144
high_flex,adaptive,7,118.41108670558323,19145.75408720929,6.03587962962963,144
high_flex,adaptive,8,119.1563957250757,19393.183366274792,6.03587962962963,144
high_flex,adaptive,9,119.31737433968549,19280.076209956533,6.03587962962963,144
high_flex,oracle,0,119.09447461358323,17902.590039801344,4.047872340425532,235
high_flex,oracle,1,118.49275348330143,17855.663190519637,4.047872340425532,235
high_flex,oracle,2,118.90058054633879,18091.22157498467,4.047872340425532,235
high_flex,oracle,3,119.43655217499212,18287.655268216473,4.047872340425532,235
high_flex,oracle,4,119.73676809800523,17940.036997135696,4.047872340425532,235
high_flex,oracle,5,118.96526874971228,17843.444539570315,4.047872340425532,235
high_flex,oracle,6,119.38986494726451,17970.207178687164,4.047872340425532,235
high_flex,oracle,7,118.41108670558319,17802.313079410036,4.047872340425532,235
high_flex,oracle,8,119.1563957250757,18096.898649110743,4.047872340425532,235
high_flex,oracle,9,119.31737433968547,17889.56952220497,4.047872340425532,235
