algorithm,seed,scenario,power_model,pue_model,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,avg_dc_util,avg_active_hosts,sla_violation_rate,sla_violations_abs
PABFD,0,low,linear,linear,33,0,4173.472314696539,2595.527869253582,1577.9444454429579,1.6516080145273802,0.24731997578770035,3.5,0.38333333333333336,23
PABFD,1,low,linear,linear,42,0,5607.600372310715,3594.842598433801,2012.757773876914,1.590573044618467,0.3490449256358889,4.75,0.5666666666666667,34
PABFD,2,low,linear,linear,43,0,3386.877089792785,2053.0223858582895,1333.8547039344937,1.6825530682379681,0.19574488627005374,2.7666666666666666,0.4,24
PABFD,3,low,linear,linear,38,0,4689.37485237878,2953.041717295598,1736.333135083181,1.6285509203004893,0.2857484661658517,3.9166666666666665,0.21666666666666667,13
PABFD,4,low,linear,linear,30,0,3598.7930444872477,2183.061809078277,1415.7312354089718,1.6781042434357467,0.20315959427375485,3.0166666666666666,0.08333333333333333,5
PABFD,5,low,linear,linear,45,1,6349.684508448628,4153.5291368939215,2196.1553715547066,1.5598300959006752,0.4002831734988744,5.533333333333333,0.7166666666666667,43
PABFD,6,low,linear,linear,39,0,5776.719253102755,3739.109070476196,2037.6101826265594,1.5825434366137556,0.3624276056437404,4.95,0.65,39
PABFD,7,low,linear,linear,37,0,4441.62782004242,2759.661987281233,1681.965832761189,1.6393708903020852,0.2677151828298579,3.65,0.4666666666666667,28
PABFD,8,low,linear,linear,28,0,3991.859702115131,2428.5350922401503,1563.32460987498,1.6621627675288724,0.22972872078521298,3.3,0.18333333333333332,11
PABFD,9,low,linear,linear,34,0,3750.492793120722,2297.349016599083,1453.1437765216394,1.6694056648223243,0.21765722529612647,3.1166666666666667,0.2,12
D_PABFD_NL,0,low,linear,linear,33,0,4218.7769887721615,2625.527869253582,1593.2491195185794,1.6516080145273802,0.24731997578770035,3.5833333333333335,0.26666666666666666,16
D_PABFD_NL,1,low,linear,linear,42,0,5645.972013695271,3618.842598433801,2027.129415261468,1.590573044618467,0.3490449256358889,4.816666666666666,0.5666666666666667,34
D_PABFD_NL,2,low,linear,linear,43,0,3386.877089792785,2053.0223858582895,1333.8547039344937,1.6825530682379681,0.19574488627005374,2.7666666666666666,0.4,24
D_PABFD_NL,3,low,linear,linear,38,0,4699.267389841849,2959.041717295598,1740.2256725462494,1.6285509203004893,0.2857484661658517,3.933333333333333,0.18333333333333332,11
D_PABFD_NL,4,low,linear,linear,30,0,3598.7930444872477,2183.061809078277,1415.7312354089718,1.6781042434357467,0.20315959427375485,3.0166666666666666,0.08333333333333333,5
D_PABFD_NL,5,low,linear,linear,45,1,6331.6298098483085,4141.5291368939215,2190.1006729543874,1.5598300959006752,0.4002831734988744,5.5,0.7166666666666667,43
D_PABFD_NL,6,low,linear,linear,39,0,5775.8027372478255,3739.109070476196,2036.6936667716295,1.5825434366137556,0.3624276056437404,4.95,0.65,39
D_PABFD_NL,7,low,linear,linear,37,0,4439.560055267035,2759.661987281233,1679.8980679858043,1.6393708903020852,0.2677151828298579,3.65,0.43333333333333335,26
D_PABFD_NL,8,low,linear,linear,28,0,4041.2116324865115,2458.5350922401503,1582.676540246361,1.6621627675288724,0.22972872078521298,3.3833333333333333,0.18333333333333332,11
D_PABFD_NL,9,low,linear,linear,34,0,3787.872602108587,2321.349016599083,1466.5235855095043,1.6694056648223243,0.21765722529612647,3.183333333333333,0.03333333333333333,2
SpreadFit,0,low,linear,linear,33,0,4464.239120172551,2775.527869253582,1688.7112509189687,1.6516080145273802,0.24731997578770035,4.0,0.13333333333333333,8
SpreadFit,1,low,linear,linear,42,0,6154.8320555628425,3942.842598433801,2211.9894571290406,1.590573044618467,0.3490449256358889,5.716666666666667,0.11666666666666667,7
SpreadFit,2,low,linear,linear,43,0,3665.20138153329,2221.02238585829,1444.1789956749994,1.6825530682379681,0.19574488627005374,3.2333333333333334,0.21666666666666667,13
SpreadFit,3,low,linear,linear,38,0,5140.187638169065,3235.041717295598,1905.145920873465,1.6285509203004893,0.2857484661658517,4.7,0.06666666666666667,4
SpreadFit,4,low,linear,linear,30,0,3973.9158621331326,2411.061809078277,1562.8540530548576,1.6781042434357467,0.20315959427375485,3.65,0.0,0
SpreadFit,5,low,linear,linear,45,1,6517.779467737799,4261.5291368939215,2256.2503308438786,1.5598300959006752,0.4002831734988744,5.833333333333333,0.7166666666666667,43
SpreadFit,6,low,linear,linear,39,0,6323.118109945023,4093.1090704761955,2230.009039468826,1.5825434366137556,0.3624276056437404,5.933333333333334,0.65,39
SpreadFit,7,low,linear,linear,37,0,4914.377383222431,3053.661987281233,1860.7153959412021,1.6393708903020852,0.2677151828298579,4.466666666666667,0.2833333333333333,17
SpreadFit,8,low,linear,linear,28,0,4455.699763744282,2710.5350922401512,1745.1646715041302,1.6621627675288724,0.22972872078521298,4.083333333333333,0.0,0
