algorithm,seed,scenario,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,min_pue,max_pue,avg_active_hosts,sla_violation_rate,sla_violations_abs,migration_count
PABFD_PUE15,0,low,33,0,4173.472314696539,2595.527869253582,1577.9444454429579,1.6516080145273802,1.4859797856225563,1.8,3.5,0.38333333333333336,23,0
PABFD_PUE15,1,low,42,0,5607.600372310715,3594.842598433801,2012.7577738769137,1.5905730446184667,1.438062894692007,1.7772712209120998,4.75,0.5666666666666667,34,0
PABFD_PUE15,2,low,43,0,3386.877089792785,2053.0223858582895,1333.8547039344937,1.6825530682379681,1.4817485246402207,1.784264611465158,2.7666666666666666,0.4,24,0
PABFD_PUE15,3,low,38,0,4689.37485237878,2953.041717295598,1736.333135083181,1.6285509203004893,1.4348292677662648,1.8,3.9166666666666665,0.21666666666666667,13,0
PABFD_PUE15,4,low,30,0,3598.7930444872477,2183.061809078277,1415.7312354089718,1.6781042434357467,1.5465865058548223,1.8,3.0166666666666666,0.08333333333333333,5,0
PABFD_PUE15,5,low,45,1,6349.684508448628,4153.5291368939215,2196.155371554706,1.5598300959006752,1.3809779747197295,1.7675275176430862,5.533333333333333,0.7166666666666667,43,0
PABFD_PUE15,6,low,39,0,5776.719253102755,3739.109070476196,2037.6101826265592,1.5825434366137554,1.4314830681327837,1.8,4.95,0.65,39,0
PABFD_PUE15,7,low,37,0,4441.62782004242,2759.661987281233,1681.965832761189,1.6393708903020852,1.4672060454001556,1.7761950068430052,3.65,0.4666666666666667,28,0
PABFD_PUE15,8,low,28,0,3991.859702115131,2428.5350922401503,1563.32460987498,1.6621627675288724,1.5757697498901055,1.8,3.3,0.18333333333333332,11,0
PABFD_PUE15,9,low,34,0,3750.492793120722,2297.349016599083,1453.1437765216392,1.6694056648223243,1.516270909638171,1.8,3.1166666666666667,0.2,12,0
PABFD_PUE12,0,low,33,0,4173.472314696539,2595.527869253582,1577.9444454429579,1.6516080145273802,1.4859797856225563,1.8,3.5,0.38333333333333336,23,0
PABFD_PUE12,1,low,42,0,5607.600372310715,3594.842598433801,2012.7577738769137,1.5905730446184667,1.438062894692007,1.7772712209120998,4.75,0.5666666666666667,34,0
PABFD_PUE12,2,low,43,0,3386.877089792785,2053.0223858582895,1333.8547039344937,1.6825530682379681,1.4817485246402207,1.784264611465158,2.7666666666666666,0.4,24,0
PABFD_PUE12,3,low,38,0,4689.37485237878,2953.041717295598,1736.333135083181,1.6285509203004893,1.4348292677662648,1.8,3.9166666666666665,0.21666666666666667,13,0
PABFD_PUE12,4,low,30,0,3598.7930444872477,2183.061809078277,1415.7312354089718,1.6781042434357467,1.5465865058548223,1.8,3.0166666666666666,0.08333333333333333,5,0
PABFD_PUE12,5,low,45,1,6349.684508448628,4153.5291368939215,2196.155371554706,1.5598300959006752,1.3809779747197295,1.7675275176430862,5.533333333333333,0.7166666666666667,43,0
PABFD_PUE12,6,low,39,0,5776.719253102755,3739.109070476196,2037.6101826265592,1.5825434366137554,1.4314830681327837,1.8,4.95,0.65,39,0
PABFD_PUE12,7,low,37,0,4441.62782004242,2759.661987281233,1681.965832761189,1.6393708903020852,1.4672060454001556,1.7761950068430052,3.65,0.4666666666666667,28,0
PABFD_PUE12,8,low,28,0,3991.859702115131,2428.5350922401503,1563.32460987498,1.6621627675288724,1.5757697498901055,1.8,3.3,0.18333333333333332,11,0
PABFD_PUE12,9,low,34,0,3750.492793120722,2297.349016599083,1453.1437765216392,1.6694056648223243,1.516270909638171,1.8,3.1166666666666667,0.2,12,0
FFD,0,low,33,0,4173.472314696539,2595.527869253582,1577.9444454429579,1.6516080145273802,1.4859797856225563,1.8,3.5,0.38333333333333336,23,0
FFD,1,low,42,0,5607.600372310715,3594.842598433801,2012.7577738769137,1.5905730446184667,1.438062894692007,1.7772712209120998,4.75,0.5666666666666667,34,0
FFD,2,low,43,0,3386.877089792785,2053.0223858582895,1333.8547039344937,1.6825530682379681,1.4817485246402207,1.784264611465158,2.7666666666666666,0.4,24,0
FFD,3,low,38,0,4689.37485237878,2953.041717295598,1736.333135083181,1.6285509203004893,1.4348292677662648,1.8,3.9166666666666665,0.21666666666666667,13,0
FFD,4,low,30,0,3598.7930444872477,2183.061809078277,1415.7312354089718,1.6781042434357467,1.5465865058548223,1.8,3.0166666666666666,0.08333333333333333,5,0
FFD,5,low,45,1,6349.684508448628,4153.5291368939215,2196.155371554706,1.5598300959006752,1.3809779747197295,1.7675275176430862,5.533333333333333,0.7166666666666667,43,0
FFD,6,low,39,0,5776.719253102755,3739.109070476196,2037.6101826265592,1.5825434366137554,1.4314830681327837,1.8,4.95,0.65,39,0
FFD,7,low,37,0,4441.62782004242,2759.661987281233,1681.965832761189,1.6393708903020852,1.4672060454001556,1.7761950068430052,3.65,0.4666666666666667,28,0
FFD,8,low,28,0,3991.859702115131,2428.5350922401503,1563.32460987498,1.6621627675288724,1.5757697498901055,1.8,3.3,0.18333333333333332,11,0
FFD,9,low,34,0,3750.492793120722,2297.349016599083,1453.1437765216392,1.6694056648223243,1.516270909638171,1.8,3.1166666666666667,0.2,12,0
Random,0,low,33,0,4435.058066502239,2757.527869253582,1677.5301972486563,1.6516080145273802,1.4859797856225563,1.8,3.95,0.13333333333333333,8,0
Random,1,low,42,0,6034.002400601206,3864.842598433801,2169.1598021674045,1.5905730446184667,1.438062894692007,1.7772712209120998,5.5,0.25,15,0
Random,2,low,43,0,3468.57840676799,2101.0223858582895,1367.5560209096998,1.6825530682379681,1.4817485246402207,1.784264611465158,2.9,0.3333333333333333,20,0
Random,3,low,38,0,4950.650466871186,3115.041717295598,1835.608749575585,1.6285509203004893,1.4348292677662648,1.8,4.366666666666666,0.15,9,0
Random,4,low,30,0,3886.388682745109,2357.061809078277,1529.3268736668326,1.6781042434357467,1.5465865058548223,1.8,3.5,0.0,0,0
Random,5,low,45,1,6368.708028786268,4165.5291368939215,2203.1788918923494,1.5598300959006752,1.3809779747197295,1.7675275176430862,5.566666666666666,0.7166666666666667,43,0
Random,6,low,39,0,5999.086639694378,3883.109070476196,2115.97756921818,1.5825434366137554,1.4314830681327837,1.8,5.35,0.7,42,0
