scenario,config,k,N,seed,total_energy_J,sla_violations,sla_viol_rate,migration_count,mean_active_hosts,total_vms
low,PABFD_baseline,0.0,5,0,2683952.981058811,0,0.0,2,3.9,31
low,PABFD_baseline,0.0,5,1,3304787.623030951,0,0.0,4,4.75,37
low,PABFD_baseline,0.0,5,2,3711583.9609862794,0,0.0,0,5.516666666666667,38
low,PABFD_baseline,0.0,5,3,2563947.8641378055,0,0.0,5,3.85,32
low,PABFD_baseline,0.0,5,4,3389187.4832674684,0,0.0,2,5.033333333333333,38
low,PABFD_baseline,0.0,5,5,2259844.8509209296,0,0.0,6,3.4833333333333334,34
low,PABFD_baseline,0.0,5,6,3962565.0179494107,0,0.0,3,5.716666666666667,39
low,PABFD_baseline,0.0,5,7,3067115.2831376223,0,0.0,0,4.483333333333333,33
low,PABFD_baseline,0.0,5,8,2716871.8103365498,0,0.0,1,4.05,36
low,PABFD_baseline,0.0,5,9,2473469.76457932,0,0.0,4,3.6,36
low,VAR_k1_N5,1.0,5,0,2626653.718627967,0,0.0,2,3.75,31
low,VAR_k1_N5,1.0,5,1,3383651.065665094,0,0.0,1,4.8,37
low,VAR_k1_N5,1.0,5,2,3674691.2146233013,0,0.0,0,5.366666666666666,38
low,VAR_k1_N5,1.0,5,3,2491308.914533375,0,0.0,4,3.6666666666666665,32
low,VAR_k1_N5,1.0,5,4,3093964.051366626,0,0.0,2,4.4,38
low,VAR_k1_N5,1.0,5,5,2245954.7170396307,0,0.0,5,3.45,34
low,VAR_k1_N5,1.0,5,6,3810248.3259233083,0,0.0,2,5.35,39
low,VAR_k1_N5,1.0,5,7,3043115.283137622,0,0.0,0,4.416666666666667,33
low,VAR_k1_N5,1.0,5,8,2641335.68553877,0,0.0,4,3.85,36
low,VAR_k1_N5,1.0,5,9,2472782.6614867924,0,0.0,5,3.6,36
low,VAR_k2_N5,2.0,5,0,2620653.718627967,0,0.0,2,3.7333333333333334,31
low,VAR_k2_N5,2.0,5,1,3338091.395452791,0,0.0,0,4.683333333333334,37
low,VAR_k2_N5,2.0,5,2,3620016.8553262358,0,0.0,0,5.2,38
low,VAR_k2_N5,2.0,5,3,2460579.6141216117,0,0.0,3,3.5833333333333335,32
low,VAR_k2_N5,2.0,5,4,3081964.051366626,0,0.0,1,4.366666666666666,38
low,VAR_k2_N5,2.0,5,5,2090097.8002514287,0,0.0,4,3.05,34
low,VAR_k2_N5,2.0,5,6,3757385.292162141,0,0.0,3,5.216666666666667,39
low,VAR_k2_N5,2.0,5,7,3043115.283137622,0,0.0,0,4.416666666666667,33
low,VAR_k2_N5,2.0,5,8,2604725.935987389,0,0.0,5,3.75,36
low,VAR_k2_N5,2.0,5,9,2384757.0779754193,0,0.0,4,3.3666666666666667,36
low,VAR_k1_N10,1.0,10,0,2626653.718627967,0,0.0,2,3.75,31
low,VAR_k1_N10,1.0,10,1,3376585.6442579324,0,0.0,0,4.783333333333333,37
low,VAR_k1_N10,1.0,10,2,3638691.214623301,0,0.0,0,5.266666666666667,38
low,VAR_k1_N10,1.0,10,3,2491308.914533375,0,0.0,4,3.6666666666666665,32
low,VAR_k1_N10,1.0,10,4,3089635.1119436836,0,0.0,2,4.383333333333334,38
low,VAR_k1_N10,1.0,10,5,2245954.7170396307,0,0.0,5,3.45,34
low,VAR_k1_N10,1.0,10,6,3810248.3259233083,0,0.0,2,5.35,39
low,VAR_k1_N10,1.0,10,7,3043115.283137622,0,0.0,0,4.416666666666667,33
low,VAR_k1_N10,1.0,10,8,2635335.68553877,0,0.0,4,3.8333333333333335,36
low,VAR_k1_N10,1.0,10,9,2472782.6614867924,0,0.0,5,3.6,36
low,VAR_k2_N10,2.0,10,0,2620653.718627967,0,0.0,2,3.7333333333333334,31
low,VAR_k2_N10,2.0,10,1,3338091.395452791,0,0.0,0,4.683333333333334,37
low,VAR_k2_N10,2.0,10,2,3620016.8553262358,0,0.0,0,5.2,38
low,VAR_k2_N10,2.0,10,3,2436798.9593260563,0,0.0,4,3.5166666666666666,32
low,VAR_k2_N10,2.0,10,4,3081964.051366626,0,0.0,1,4.366666666666666,38
low,VAR_k2_N10,2.0,10,5,2084097.800251429,0,0.0,3,3.033333333333333,34
low,VAR_k2_N10,2.0,10,6,3757385.292162141,0,0.0,3,5.216666666666667,39
low,VAR_k2_N10,2.0,10,7,3037115.283137622,0,0.0,0,4.4,33
low,VAR_k2_N10,2.0,10,8,2604725.935987389,0,0.0,5,3.75,36
low,VAR_k2_N10,2.0,10,9,2427979.668248839,0,0.0,5,3.4833333333333334,36
medium,PABFD_baseline,0.0,5,0,2741344.20104996,0,0.0,0,4,31
medium,PABFD_baseline,0.0,5,1,3116056.2327096295,0,0.0,0,4.466666666666667,37
medium,PABFD_baseline,0.0,5,2,3553686.1710464777,0,0.0,1,5.316666666666666,38
medium,PABFD_baseline,0.0,5,3,2509421.811417144,0,0.0,2,3.783333333333333,32
medium,PABFD_baseline,0.0,5,4,3244249.0282415487,0,0.0,1,4.85,38
medium,PABFD_baseline,0.0,5,5,2342149.056064596,0,0.0,5,3.566666666666667,34
medium,PABFD_baseline,0.0,5,6,3881432.974206307,0,0.0,3,5.7,39
medium,PABFD_baseline,0.0,5,7,2817915.8735489096,0,0.0,2,4.166666666666667,33
medium,PABFD_baseline,0.0,5,8,2424056.2748618345,0,0.0,5,3.6666666666666665,36
medium,PABFD_baseline,0.0,5,9,2669518.8080155277,0,0.0,6,4.05,36
medium,VAR_k1_N5,1.0,5,0,2694672.660412023,0,0.0,0,3.8833333333333333,31
medium,VAR_k1_N5,1.0,5,1,3103942.7688569594,0,0.0,0,4.433333333333334,37
medium,VAR_k1_N5,1.0,5,2,3446931.764471275,0,0.0,1,5.066666666666666,38
medium,VAR_k1_N5,1.0,5,3,2473421.811417144,0,0.0,1,3.683333333333333,32
medium,VAR_k1_N5,1.0,5,4,3216480.841658404,0,0.0,0,4.766666666666667,38
medium,VAR_k1_N5,1.0,5,5,2342149.0560645964,0,0.0,5,3.566666666666667,34
medium,VAR_k1_N5,1.0,5,6,3781140.7851930982,0,0.0,2,5.433333333333334,39
medium,VAR_k1_N5,1.0,5,7,2811915.8735489096,0,0.0,2,4.15,33
medium,VAR_k1_N5,1.0,5,8,2402392.3721748767,0,0.0,2,3.6333333333333333,36
medium,VAR_k1_N5,1.0,5,9,2651518.8080155263,0,0.0,6,4,36
medium,VAR_k2_N5,2.0,5,0,2700672.660412023,0,0.0,1,3.9,31
medium,VAR_k2_N5,2.0,5,1,3170412.1818235973,0,0.0,2,4.5,37
medium,VAR_k2_N5,2.0,5,2,3426118.8599475794,0,0.0,0,5,38
medium,VAR_k2_N5,2.0,5,3,2509421.811417145,0,0.0,2,3.783333333333333,32
medium,VAR_k2_N5,2.0,5,4,3134694.870128647,0,0.0,0,4.566666666666666,38
medium,VAR_k2_N5,2.0,5,5,2224466.1773787444,0,0.0,3,3.2666666666666666,34
medium,VAR_k2_N5,2.0,5,6,3808734.111059506,0,0.0,1,5.5,39
medium,VAR_k2_N5,2.0,5,7,2781636.5450219554,0,0.0,1,4.066666666666666,33
medium,VAR_k2_N5,2.0,5,8,2335832.861927005,0,0.0,2,3.45,36
medium,VAR_k2_N5,2.0,5,9,2541862.9284749785,0,0.0,1,3.7,36
medium,VAR_k1_N10,1.0,10,0,2694672.660412023,0,0.0,0,3.8833333333333333,31
medium,VAR_k1_N10,1.0,10,1,3103942.7688569594,0,0.0,0,4.433333333333334,37
medium,VAR_k1_N10,1.0,10,2,3446931.764471275,0,0.0,1,5.066666666666666,38
medium,VAR_k1_N10,1.0,10,3,2473421.811417144,0,0.0,1,3.683333333333333,32
medium,VAR_k1_N10,1.0,10,4,3216480.841658404,0,0.0,0,4.766666666666667,38
medium,VAR_k1_N10,1.0,10,5,2342149.0560645964,0,0.0,5,3.566666666666667,34
medium,VAR_k1_N10,1.0,10,6,3781140.7851930987,0,0.0,2,5.433333333333334,39
medium,VAR_k1_N10,1.0,10,7,2811915.8735489096,0,0.0,2,4.15,33
medium,VAR_k1_N10,1.0,10,8,2402392.3721748767,0,0.0,2,3.6333333333333333,36
medium,VAR_k1_N10,1.0,10,9,2651518.8080155263,0,0.0,6,4,36
medium,VAR_k2_N10,2.0,10,0,2700672.660412023,0,0.0,1,3.9,31
medium,VAR_k2_N10,2.0,10,1,3099867.964979344,0,0.0,0,4.433333333333334,37
medium,VAR_k2_N10,2.0,10,2,3426118.8599475794,0,0.0,0,5,38
medium,VAR_k2_N10,2.0,10,3,2509421.811417145,0,0.0,2,3.783333333333333,32
medium,VAR_k2_N10,2.0,10,4,3134694.870128647,0,0.0,0,4.566666666666666,38
medium,VAR_k2_N10,2.0,10,5,2224466.1773787444,0,0.0,3,3.2666666666666666,34
medium,VAR_k2_N10,2.0,10,6,3808734.111059506,0,0.0,1,5.5,39
medium,VAR_k2_N10,2.0,10,7,2781636.5450219554,0,0.0,1,4.066666666666666,33
medium,VAR_k2_N10,2.0,10,8,2335832.861927005,0,0.0,2,3.45,36
medium,VAR_k2_N10,2.0,10,9,2572277.5493599237,0,0.0,1,3.783333333333333,36
high,PABFD_baseline,0.0,5,0,2297894.955707883,0,0.0,1,3.3833333333333333,31
high,PABFD_baseline,0.0,5,1,2949360.5496255984,0,0.0,1,4.35,37
high,PABFD_baseline,0.0,5,2,3085250.7798822094,0,0.0,1,4.533333333333333,38
high,PABFD_baseline,0.0,5,3,2119225.5582316285,0,0.0,1,3.1666666666666665,32
high,PABFD_baseline,0.0,5,4,2805453.890452429,0,0.0,0,4.166666666666667,38
high,PABFD_baseline,0.0,5,5,2185826.516875051,0,0.0,2,3.35,34
high,PABFD_baseline,0.0,5,6,3103931.984233111,0,0.0,1,4.5,39
high,PABFD_baseline,0.0,5,7,1979144.1420982676,0,0.0,0,2.9833333333333334,33
high,PABFD_baseline,0.0,5,8,2013409.6052462272,0,0.0,2,3.066666666666667,36
high,PABFD_baseline,0.0,5,9,2170268.4656712296,0,0.0,4,3.3833333333333333,36
high,VAR_k1_N5,1.0,5,0,2297894.955707883,0,0.0,1,3.3833333333333333,31
high,VAR_k1_N5,1.0,5,1,2837414.9211833975,0,0.0,0,4.05,37
high,VAR_k1_N5,1.0,5,2,3061382.079445486,0,0.0,0,4.5,38
high,VAR_k1_N5,1.0,5,3,2113225.558231628,0,0.0,1,3.15,32
high,VAR_k1_N5,1.0,5,4,2787453.890452429,0,0.0,1,4.116666666666666,38
high,VAR_k1_N5,1.0,5,5,2173826.5168750505,0,0.0,2,3.316666666666667,34
high,VAR_k1_N5,1.0,5,6,3103315.7936581937,0,0.0,3,4.5,39
high,VAR_k1_N5,1.0,5,7,1979144.1420982676,0,0.0,0,2.9833333333333334,33
high,VAR_k1_N5,1.0,5,8,2013409.6052462272,0,0.0,2,3.066666666666667,36
high,VAR_k1_N5,1.0,5,9,2096973.427839064,0,0.0,1,3.183333333333333,36
high,VAR_k2_N5,2.0,5,0,2270929.76641386,0,0.0,1,3.316666666666667,31
high,VAR_k2_N5,2.0,5,1,2888706.765827521,0,0.0,0,4.2,37
high,VAR_k2_N5,2.0,5,2,3009763.221270787,0,0.0,0,4.366666666666666,38
high,VAR_k2_N5,2.0,5,3,2095225.5582316285,0,0.0,1,3.1,32
high,VAR_k2_N5,2.0,5,4,2763453.8904524287,0,0.0,1,4.05,38
high,VAR_k2_N5,2.0,5,5,2134580.894321451,0,0.0,5,3.216666666666667,34
high,VAR_k2_N5,2.0,5,6,3049315.7936581937,0,0.0,1,4.35,39
high,VAR_k2_N5,2.0,5,7,1959148.4622516409,0,0.0,0,2.933333333333333,33
high,VAR_k2_N5,2.0,5,8,1985246.8227073536,0,0.0,2,3,36
high,VAR_k2_N5,2.0,5,9,2096973.427839064,0,0.0,1,3.183333333333333,36
high,VAR_k1_N10,1.0,10,0,2297894.955707883,0,0.0,1,3.3833333333333333,31
high,VAR_k1_N10,1.0,10,1,2857756.6544715804,0,0.0,1,4.1,37
high,VAR_k1_N10,1.0,10,2,3055382.079445486,0,0.0,0,4.483333333333333,38
high,VAR_k1_N10,1.0,10,3,2113225.558231628,0,0.0,1,3.15,32
high,VAR_k1_N10,1.0,10,4,2787453.8904524287,0,0.0,1,4.116666666666666,38
high,VAR_k1_N10,1.0,10,5,2167826.5168750505,0,0.0,2,3.3,34
high,VAR_k1_N10,1.0,10,6,3103315.7936581937,0,0.0,3,4.5,39
